Geotek MSCL 7.9 - TN336_TC4-04.raw created at 22:27:54 on 1/19/2016.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.84,1,84,0.23,94.84,0.0102,1308,12,20.04,467.8,,0.84,1,84,10.203,0.0102,1498.238,1.6865,11.7718,6.4478,2526.778387,0.61687935,0.7185
0.85,1,85,0.23,94.85,0.0092,1320,11,20.04,464.3,,0.85,1,85,10.203,0.0092,1498.018,1.6736,10.7909,6.913,2507.082925,0.624361949,0.7186
0.86,1,86,0.24,94.84,0.008,1293,12,20.04,461.5,,0.86,1,86,10.204,0.008,1498.385,1.7028,11.7718,6.7225,2551.449978,0.607424594,0.7131
0.87,1,87,0.24,94.52,0.0068,1250,12,20.05,459.9,,0.87,1,87,10.204,0.0068,1505.459,1.7511,11.7718,6.9891,2636.209255,0.579408353,0.6964
0.88,1,88,0.26,94.48,0.0075,1310,12,20.05,457.2,,0.88,1,88,10.206,0.0075,1506.643,1.6843,11.7718,7.164,2537.638805,0.618155452,0.6831
0.89,1,89,0.28,94.53,0.0072,1225,13,20.06,454.2,,0.89,1,89,10.208,0.0072,1505.827,1.7801,12.7528,6.6217,2680.522643,0.562587007,0.6688
0.9,1,90,0.26,94.49,0.0068,1227,12,20.05,451.3,,0.9,1,90,10.206,0.0068,1506.421,1.7778,11.7718,6.6261,2678.115254,0.563921114,0.6594
0.91,1,91,0.27,94.14,0.0054,1228,12,20.05,449.6,,0.91,1,91,10.207,0.0054,1514.392,1.7766,11.7718,6.9398,2690.468827,0.564617169,0.6567
0.92,1,92,0.32,94.39,0.0058,1299,12,20.05,446,,0.92,1,92,10.212,0.0058,1509.534,1.6963,11.7718,7.5327,2560.622524,0.611194896,0.6576
0.93,1,93,0.31,94.51,0.0055,1302,13,20.06,443.3,,0.93,1,93,10.211,0.0055,1506.714,1.693,12.7528,6.9936,2550.866802,0.613109049,0.6622
0.94,1,94,0.32,94.63,0.0067,1311,12,20.05,441.8,,0.94,1,94,10.212,0.0067,1504.198,1.6832,11.7718,7.4312,2531.866074,0.618793503,0.6679
0.95,1,95,0.32,94.55,0.0067,1281,13,20.06,441.5,,0.95,1,95,10.212,0.0067,1505.973,1.7161,12.7528,6.802,2584.400265,0.599709977,0.6726
0.96,1,96,0.32,94.47,0.0082,1268,12,20.06,443.8,,0.96,1,96,10.212,0.0082,1507.751,1.7307,11.7718,7.4795,2609.464656,0.591241299,0.6753
0.97,1,97,0.27,94.45,0.0066,1291,13,20.05,446.5,,0.97,1,97,10.207,0.0066,1507.458,1.705,12.7528,6.7799,2570.21589,0.606148492,0.6799
0.98,1,98,0.26,94.28,0.0065,1263,12,20.07,448.5,,0.98,1,98,10.206,0.0065,1511.104,1.7363,11.7718,7.412,2623.729875,0.587993039,0.6853
0.99,1,99,0.26,94.29,0.0076,1277,13,20.07,448.3,,0.99,1,99,10.206,0.0076,1510.881,1.7206,12.7528,6.8285,2599.621849,0.597099768,0.6903
1,1,100,0.27,94.17,0.0077,1274,12,20.07,445.2,,1,1,100,10.207,0.0077,1513.718,1.7239,11.7718,6.8152,2609.49846,0.595185615,0.6935
1.01,1,101,0.22,94.2,0.0072,1271,12,20.1,442.5,,1.01,1,101,10.202,0.0072,1512.304,1.7273,11.7718,7.4361,2612.202699,0.593213457,0.7
1.02,1,102,0.26,94.32,0.0056,1282,13,20.1,439.6,,1.02,1,102,10.206,0.0056,1510.21,1.715,12.7528,6.9086,2590.01015,0.600348028,0.7049
1.03,1,103,0.35,94.26,0.0059,1292,12,20.1,438.1,,1.03,1,103,10.215,0.0059,1512.885,1.7039,11.7718,6.5693,2577.804752,0.606786543,0.7077
1.04,1,104,0.33,94.12,0.0067,1215,12,20.09,437,,1.04,1,104,10.213,0.0067,1515.732,1.7919,11.7718,6.6435,2716.040171,0.555742459,0.7082
1.05,1,105,0.37,94.02,0.0061,1232,12,20.1,435.2,,1.05,1,105,10.217,0.0061,1518.579,1.7719,11.7718,7.1972,2690.77013,0.567343387,0.7041
