Geotek MSCL 7.9 - TN336_JPC27-31.raw created at 4:07:41 on 1/24/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_JPC27-31.out created at 4:16:17 on 1/24/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
2.962,3,6.47,0.49,94.63,0.0014,4698,48,19.62,385.5,,2.962,3,6.5,10.229,0.0014,1493.721,1.6083,46.4394,28.8749,2402.347,0.6622,0.8004
2.972,3,7.47,0.4,95.05,0.0034,4730,47,19.61,389.7,,2.972,3,7.5,10.22,0.0034,1483.309,1.6005,45.5876,28.4828,2374.079,0.6667,0.791
2.982,3,8.47,0.28,94.91,0.0093,4784,45,19.61,390.1,,2.982,3,8.5,10.208,0.0093,1484.584,1.5871,43.7959,27.5955,2356.129,0.6746,0.7902
2.992,3,9.47,0.23,95.17,0.0154,4713,46,19.62,390.7,,2.992,3,9.5,10.203,0.0154,1478.267,1.6081,44.8324,27.8796,2377.162,0.6624,0.7889
3.002,3,10.47,0.22,94.68,0.0154,4632,47,19.62,389.2,,3.002,3,10.5,10.202,0.0154,1488.691,1.6318,45.82,28.0798,2429.211,0.6486,0.7922
3.012,3,11.47,0.17,94.45,0.0166,4654,48,19.61,387.2,,3.012,3,11.5,10.197,0.0166,1492.972,1.6261,46.8612,28.8176,2427.765,0.6519,0.7966
3.022,3,12.47,0.11,94.19,0.0219,4515,49,19.61,386.9,,3.022,3,12.5,10.191,0.0219,1497.795,1.6685,47.9188,28.7198,2499.063,0.6273,0.7973
3.032,3,13.47,0.1,93.75,0.0231,4311,48,19.61,389.5,,3.032,3,13.5,10.19,0.0231,1507.396,1.7324,46.9541,27.104,2611.362,0.5903,0.7914
3.042,3,14.47,0.16,93.31,0.0062,4107,44,19.61,393.4,,3.042,3,14.5,10.196,0.0062,1518.166,1.7989,42.9682,23.8864,2730.96,0.5517,0.7829
3.052,3,15.47,0.24,92.87,0.0033,4683,39,19.62,395.4,,3.052,3,15.5,10.204,0.0033,1529.376,1.6166,37.9994,23.5061,2472.354,0.6574,0.7786
3.062,3,16.47,0.27,94.17,0.0179,4829,33,19.62,396.2,,3.062,3,16.5,10.207,0.0179,1500.588,1.5746,32.126,20.4028,2362.812,0.6818,0.7769
3.072,3,17.47,0.37,94.84,0.0232,4777,29,19.62,398.7,,3.072,3,17.5,10.217,0.0232,1487.407,1.5876,28.1523,17.7322,2361.469,0.6742,0.7716
3.082,3,18.47,0.47,94.85,0.0286,4760,25,19.61,402.2,,3.082,3,18.5,10.227,0.0286,1488.646,1.5909,24.2009,15.2121,2368.283,0.6723,0.7643
3.092,3,19.47,0.51,94.81,0.021,4741,22,19.62,405.5,,3.092,3,19.5,10.231,0.021,1490.096,1.5957,21.2727,13.3315,2377.704,0.6696,0.7573
3.102,3,20.47,0.58,94.91,0.0155,4782,21,19.61,408.6,,3.102,3,20.5,10.238,0.0155,1488.947,1.583,20.2658,12.8023,2356.968,0.6769,0.7512
3.112,3,21.47,0.67,94.86,0.0152,4804,19,19.61,409.9,,3.112,3,21.5,10.247,0.0152,1491.34,1.5754,18.2893,11.6092,2349.48,0.6813,0.7486
3.122,3,22.47,0.68,95.02,0.0256,4820,17,19.62,409.2,,3.122,3,22.5,10.248,0.0256,1488.021,1.5708,16.3595,10.4148,2337.376,0.684,0.7499
3.132,3,23.47,0.69,94.86,0.0221,4662,16,19.61,408.1,,3.132,3,23.5,10.249,0.0221,1491.631,1.6156,15.3929,9.5279,2409.813,0.658,0.7523
3.142,3,24.47,0.81,94.63,0.0301,4520,16,19.62,403.9,,3.142,3,24.5,10.261,0.0301,1498.394,1.6556,15.341,9.2661,2480.749,0.6348,0.7608
3.152,3,25.47,0.77,94.58,0.027,4529,15,19.62,398.4,,3.152,3,25.5,10.257,0.027,1498.904,1.6535,14.3984,8.7076,2478.504,0.636,0.7722
3.162,3,26.47,0.81,94.17,0.0321,4378,14,19.62,393.8,,3.162,3,26.5,10.261,0.0321,1508.527,1.6992,13.4234,7.8998,2563.288,0.6095,0.782
3.172,3,27.47,0.77,94.38,0.0346,4352,13,19.61,392.4,,3.172,3,27.5,10.257,0.0346,1503.298,1.708,12.4786,7.3058,2567.687,0.6044,0.7851
3.182,3,28.47,0.77,94.27,0.0407,4319,14,19.62,394.9,,3.182,3,28.5,10.257,0.0407,1505.725,1.7185,13.4385,7.8199,2587.587,0.5983,0.7797
3.192,3,29.47,0.77,94.42,0.0369,4425,12,19.62,400,,3.192,3,29.5,10.257,0.0369,1502.417,1.6852,11.5187,6.8351,2531.928,0.6176,0.7688
3.202,3,30.47,0.77,94.49,0.0269,4438,12,19.62,406,,3.202,3,30.5,10.257,0.0269,1500.878,1.6812,11.5187,6.8514,2523.314,0.6199,0.7565
3.212,3,31.47,0.77,94.5,0.026,4422,12,19.61,409.9,,3.212,3,31.5,10.257,0.026,1500.658,1.6862,11.5187,6.8313,2530.357,0.6171,0.7485
3.222,3,32.47,0.79,94.5,0.0224,4503,12,19.62,415.6,,3.222,3,32.5,10.259,0.0224,1500.951,1.6611,11.5122,6.9307,2493.167,0.6316,0.7374
3.232,3,33.47,0.72,94.69,0.0322,4534,11,19.62,420.7,,3.232,3,33.5,10.252,0.0322,1495.769,1.6528,10.5737,6.3972,2472.28,0.6364,0.7277
3.242,3,34.47,0.72,94.66,0.0414,4592,11,19.62,422.7,,3.242,3,34.5,10.252,0.0414,1496.424,1.6356,10.5737,6.4648,2447.514,0.6464,0.7239
3.252,3,35.47,0.68,94.86,0.0443,4603,10,19.62,423.2,,3.252,3,35.5,10.248,0.0443,1491.486,1.633,9.6232,5.8931,2435.547,0.6479,0.723
3.262,3,36.47,0.71,94.85,0.0382,4609,12,19.62,421.4,,3.262,3,36.5,10.251,0.0382,1492.14,1.6307,11.5381,7.0755,2433.266,0.6492,0.7262
3.272,3,37.47,0.67,94.81,0.0463,4729,13,19.62,416.6,,3.272,3,37.5,10.247,0.0463,1492.427,1.5966,12.5137,7.8378,2382.803,0.669,0.7354
3.282,3,38.47,0.67,94.86,0.0397,4708,12,19.62,412.5,,3.282,3,38.5,10.247,0.0397,1491.34,1.6026,11.5511,7.2077,2390.024,0.6655,0.7434
3.292,3,39.47,0.65,94.84,0.0436,4673,13,19.62,407.3,,3.292,3,39.5,10.245,0.0436,1491.484,1.613,12.5208,7.7624,2405.759,0.6595,0.7537
3.302,3,40.47,0.62,94.88,0.0385,4617,13,19.63,403.8,,3.302,3,40.5,10.242,0.0385,1490.179,1.6298,12.5314,7.6889,2428.697,0.6498,0.7609
3.312,3,41.47,0.67,94.8,0.0461,4625,14,19.62,397.8,,3.312,3,41.5,10.247,0.0461,1492.644,1.6267,13.4763,8.2847,2428.024,0.6516,0.7735
3.322,3,42.47,0.57,94.83,0.0549,4642,14,19.63,392.6,,3.322,3,42.5,10.237,0.0549,1490.536,1.6233,13.5143,8.3254,2419.547,0.6536,0.7846
3.332,3,43.47,0.68,94.81,0.0705,4630,14,19.62,387.3,,3.332,3,43.5,10.248,0.0705,1492.572,1.625,13.4725,8.2906,2425.485,0.6525,0.7964
3.342,3,44.47,0.77,94.8,0.0817,4624,13,19.62,384.2,,3.342,3,44.5,10.257,0.0817,1494.1,1.6254,12.4786,7.6774,2428.462,0.6523,0.8034
3.352,3,45.47,0.75,94.72,0.0727,4595,13,19.63,380.7,,3.352,3,45.5,10.255,0.0727,1495.552,1.6342,12.4856,7.6401,2444.048,0.6472,0.8116
3.362,3,46.47,0.72,94.82,0.0673,4586,12,19.63,376.7,,3.362,3,46.5,10.252,0.0673,1492.937,1.6374,11.5349,7.0449,2444.461,0.6454,0.8209
3.372,3,47.47,0.7,94.83,0.0714,4580,12,19.63,373.3,,3.372,3,47.5,10.25,0.0714,1492.429,1.6394,11.5414,7.0398,2446.758,0.6442,0.829
3.382,3,48.47,0.74,94.86,0.059,4638,13,19.63,372.3,,3.382,3,48.5,10.254,0.059,1492.359,1.6217,12.4891,7.701,2420.232,0.6544,0.8315
3.392,3,49.47,0.79,94.92,0.0575,4676,12,19.63,372.8,,3.392,3,49.5,10.259,0.0575,1491.784,1.6099,11.5122,7.1508,2401.667,0.6613,0.8303
3.402,3,50.47,0.67,94.87,0.0535,4610,12,19.63,374.6,,3.402,3,50.5,10.247,0.0535,1491.123,1.6311,11.5511,7.082,2432.119,0.649,0.8259
