Geotek MSCL 7.9 - TN336_TC32-37.raw created at 0:16:59 on 1/25/2016.,,,,,,,,,,,Geotek MSCL 7.9 - TN336_TC32-37.out created at 0:19:46 on 1/25/2016.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Core Depth,Section,Sect Depth,CTD ,Tr. Time ,PW Amp   ,A Gamma  ,Mag Sus  ,Temp     ,NC Res   ,,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,MS1,Imp,FP,RES
m,,cm,mm,_sec,,cps,SI x 10^-5,_C,mV,,m,,cm,cm,,m/s,g/cc,SI x 10^-5,x 10^-8 (m^3/kg),,,Ohm.m
,,,,,,,,,,,,,,,,,,,,,,
0.772,1,77.2,0.01,95.59,0.0029,4663,28,18.71,561.9,,0.772,1,77.2,10.181,0.0029,1472.094,1.6197,27.4598,16.954,2384.304,0.6556,0.5594
0.782,1,78.2,0.01,95.45,0.003,4701,29,18.7,554.1,,0.782,1,78.2,10.181,0.003,1475.08,1.6087,28.4406,17.6792,2372.957,0.662,0.5679
0.792,1,79.2,-0.01,95.4,0.0034,4684,29,18.71,545.4,,0.792,1,79.2,10.179,0.0034,1475.859,1.6139,28.4567,17.6322,2381.902,0.659,0.5777
0.802,1,80.2,0.02,95.31,0.0035,4545,29,18.7,537.9,,0.802,1,80.2,10.182,0.0035,1478.223,1.6543,28.4325,17.1869,2445.444,0.6355,0.5864
0.812,1,81.2,-0.04,95,0.0034,4492,30,18.7,533.9,,0.812,1,81.2,10.176,0.0034,1484.031,1.6713,29.463,17.6287,2480.271,0.6257,0.5911
0.822,1,82.2,0.08,94.87,0.0035,4526,29,18.71,535.9,,0.822,1,82.2,10.188,0.0035,1488.603,1.659,28.3842,17.1087,2469.663,0.6328,0.5887
0.832,1,83.2,0.07,94.81,0.0039,4711,29,18.71,539.7,,0.832,1,83.2,10.187,0.0039,1489.763,1.6049,28.3922,17.6912,2390.896,0.6642,0.5842
0.842,1,84.2,0.07,95.02,0.0037,4716,29,18.72,543.1,,0.842,1,84.2,10.187,0.0037,1485.202,1.6035,28.3922,17.7069,2381.451,0.6651,0.5803
0.852,1,85.2,0.08,95.35,0.0058,4911,29,18.71,547.8,,0.852,1,85.2,10.188,0.0058,1478.236,1.549,28.3842,18.3246,2289.739,0.6967,0.575
0.862,1,86.2,0.12,95.45,0.0058,4733,28,18.71,547.8,,0.862,1,86.2,10.192,0.0058,1476.673,1.5978,27.3744,17.1323,2359.458,0.6683,0.5749
