<PWAVE-TN336_TC49-60--638>
<PWAVE SAMPLE POINT>
Depth In Core=-63.80
Depth In Section=0.00
SBD=0.00
Core ID=TN336_TC49-60
Section Number=cal
Section Length=63.80
Comments=Core TN336_TC49-60 logged at 03:57:27 on 01-29-2016
TOT=0.00
TX Level (Volts)=255
P-Wave Amp Gain=1443.00
Delay=80.00
Gate=52.00
Date=1/29/2016
Time=4:00:11
</PWAVE SAMPLE POINT>
<PWAVE DATA>
Time (탎),Voltage (mV)
68.16,-0.003
68.24,-0.003
68.32,-0.003
68.40,-0.003
68.48,-0.003
68.56,-0.003
68.64,-0.004
68.72,-0.004
68.80,-0.004
68.88,-0.004
68.96,-0.004
69.04,-0.004
69.12,-0.004
69.20,-0.004
69.28,-0.004
69.36,-0.005
69.44,-0.005
69.52,-0.005
69.60,-0.005
69.68,-0.005
69.76,-0.005
69.84,-0.005
69.92,-0.005
70.00,-0.005
70.08,-0.005
70.16,-0.005
70.24,-0.005
70.32,-0.005
70.40,-0.005
70.48,-0.005
70.56,-0.005
70.64,-0.005
70.72,-0.004
70.80,-0.005
70.88,-0.004
70.96,-0.004
71.04,-0.004
71.12,-0.004
71.20,-0.004
71.28,-0.003
71.36,-0.003
71.44,-0.003
71.52,-0.003
71.60,-0.003
71.68,-0.003
71.76,-0.003
71.84,-0.004
71.92,-0.004
72.00,-0.004
72.08,-0.004
72.16,-0.004
72.24,-0.004
72.32,-0.004
72.40,-0.004
72.48,-0.004
72.56,-0.004
72.64,-0.004
72.72,-0.004
72.80,-0.004
72.88,-0.004
72.96,-0.004
73.04,-0.003
73.12,-0.003
73.20,-0.003
73.28,-0.003
73.36,-0.003
73.44,-0.003
73.52,-0.003
73.60,-0.003
73.68,-0.003
73.76,-0.003
73.84,-0.003
73.92,-0.003
74.00,-0.003
74.08,-0.003
74.16,-0.003
74.24,-0.003
74.32,-0.003
74.40,-0.004
74.48,-0.004
74.56,-0.004
74.64,-0.003
74.72,-0.004
74.80,-0.004
74.88,-0.004
74.96,-0.003
75.04,-0.003
75.12,-0.003
75.20,-0.003
75.28,-0.003
75.36,-0.003
75.44,-0.003
75.52,-0.003
75.60,-0.003
75.68,-0.003
75.76,-0.003
75.84,-0.003
75.92,-0.004
76.00,-0.003
76.08,-0.003
76.16,-0.003
76.24,-0.003
76.32,-0.003
76.40,-0.003
76.48,-0.003
76.56,-0.003
76.64,-0.003
76.72,-0.003
76.80,-0.003
76.88,-0.003
76.96,-0.003
77.04,-0.003
77.12,-0.004
77.20,-0.004
77.28,-0.004
77.36,-0.004
77.44,-0.004
77.52,-0.004
77.60,-0.004
77.68,-0.004
